Name,Disease,Description
anxiety disorders,D001008,"Anxiety disorders, categorized under the OMIM ID 'D001008', are complex psychiatric disorders attributed to numerous genes including the serotonin transporter gene SLC6A4, COMT, and the BDNF gene, which encodes for brain-derived neurotrophic factor, a protein crucial for nerve growth and survival. The condition involves abnormal activation of the hypothalamic-pituitary-adrenal axis and dysregulation of neurotransmitters, predominantly serotonin, norepinephrine, and gamma-aminobutyric acid, leading to a chronic state of fear and apprehension. Management typically involves selective serotonin reuptake inhibitors (SSRIs) such as fluoxetine, serotonin-norepinephrine reuptake inhibitors (SNRIs) like venlafaxine, and benzodiazepines including alprazolam which augment GABA neurotransmission, thereby attenuating the hyperexcitable state. Common co-morbidities encompass depression, substance abuse, and gastrointestinal disorders that may complicate the treatment plan. The nature of the disorder can range from generalized anxiety disorder, panic disorder, to specific phobias, with symptoms comprising persistent worry, restlessness, irritability, and physical attributes such as palpitations and sweating. Given the multifactorial nature of the disorder, inheritance patterns are complex, with both environmental influence and a genetic component, as shown by twin studies indicating a concordance rate of 30-40% for panic disorder. Lastly, the diagnostic criteria as noted in the DSM-V involve excessive worry persisting for at least six months, with physical or cognitive symptoms causing significant impairment in function, while specific investigations can quantify abnormal neurotransmitter levels or employ functional MRI to highlight overactive regions within the amygdala or prefrontal cortex."
ataxia,D001259,"Ataxia, associated with OMIM ID ""D001259,"" is a heterogeneous group of neurological disorders characterized by poor coordination and balance resulting from the degeneration of the cerebellum and its connecting pathways. Clinically, patients usually exhibit gait disturbances, dysarthria, nystagmus, and difficulty with fine motor tasks. Ataxia can be broadly categorized into hereditary and sporadic types, with numerous subtypes such as Friedreich's ataxia, Ataxia-telangiectasia, and Spinocerebellar ataxia (SCA) among others. Mutations in specific genes such as the Frataxin gene (FXN), Ataxia Telangiectasia Mutated gene (ATM), and various Ataxin genes (ATXN1, ATXN2, etc.) are known to cause the respective subtypes. Inherited Ataxias can follow autosomal dominant, autosomal recessive, or X-linked patterns of inheritance. For example, Friedreich's ataxia is autosomal recessive, often due to GAA repeat expansions in the FXN gene affecting iron regulation and mitochondrial function, while most SCAs are autosomal dominant, commonly involving CAG trinucleotide repeat expansions in various ATXN genes resulting in misfolded proteins and impaired neuronal function.

The pathophysiology typically involves altered signal pathways impacting neuronal survival and function, such as disruption of mitochondrial homeostasis in Friedreich's ataxia, while Ataxia-telangiectasia involves impaired DNA repair mechanisms and immunodeficiency. Due to the variability of the disease, therapies are symptomatic and supportive, with drugs like riluzole, idebenone, and deferiprone employed to manage symptoms and mitigate disease progression, either by affecting glutamate neurotransmission, providing antioxidant effects, or reducing toxic iron accumulation respectively.

Evidence of ataxia is typically diagnosed using clinical evaluations, genetic testing, and neuroimaging such as MRI. Various complications and comorbidities may accompany ataxia, such as diabetes in Friedreich's ataxia, immunodeficiency and predisposition to malignancy in Ataxia-telangiectasia, and a range of psychiatric and cognitive impairments in SCAs."
"constriction, pathologic",D003251,"Pathologic constriction is a multifactorial disease, often manifested due to dysregulations at the genetic, protein, and molecular pathway level. For instance, genetic mutations such as those in ACTA2, TGFB2, and COL3A1 genes, can lead to defects in smooth muscle cells and connective tissue formation, respectively, leading to this pathological state. These mutations largely cause a disruption of key signaling pathways, particularly the Transforming Growth Factor-?? (TGF-??) pathway, leading to abnormal smooth muscle contraction and extracellular matrix remodeling. Commonly used pharmacological interventions, including calcium channel blockers (nifedipine), angiotensin II receptor antagonists (losartan), and beta-blockers (propranolol), operate by modulating vascular smooth muscle tone and blood pressure to alleviate the characteristic symptoms of the disease. Pathologic constriction is frequently observed as co-morbidity with aortic aneurysms, dissections, and associated cardiovascular diseases, adding complexity in disease management. The nature of this disease is profoundly debilitating, marked by constriction or narrowing of bodily canals or orifices which can manifest in divergent ways depending on the site of occurrence, such as esophageal or bronchial stenosis. Clinical symptoms may include difficulty in swallowing, breathlessness, cough and, in severe cases, progressive organ dysfunction. The disease can be classified into primary and secondary forms based on whether causative factor is genetic or due to an underlying disease such as cancer respectively. Considering the familial clustering and the pattern of gene mutations involved, the inheritance pattern of pathologic constriction is primarily considered autosomal dominant, however, sporadic cases increase with aging populations. Diagnostic evaluation relies on a combination of clinical observation, imaging techniques like endoscopy or bronchoscopy, and genetic testing confirming the presence of pertinent gene mutations."
"epilepsy, tonic-clonic",D004830,"Epilepsy, specifically tonic-clonic epilepsy (OMIM ID: D004830), is a neurological disorder characterized by recurring seizures. This condition may be linked to various genes including SCN1A, GABRG2, and CACNA1A, which encode critical proteins in the signal pathways that modulate neuronal excitability: voltage-gated sodium channels, GABA receptors, and voltage-gated calcium channels, respectively. Mutations in these genes can disrupt normal neurotransmission and induce an excessive and synchronous neuronal activity culminating in a seizure. Medications such as carbamazepine, lamotrigine, and phenytoin are commonly used to control seizures by blocking sodium channels and reducing neuronal hyperactivity. Comorbidities linked with tonic-clonic epilepsy include cognitive impairment, psychiatric disorders like depression, and a heightened risk of SUDEP (sudden unexpected death in epilepsy). Tonic-clonic seizures are categorized as generalized onset seizures, usually involving loss of consciousness and violent muscle contractions observable clinically. There are inherited forms of this condition which demonstrate a spectrum of autosomal dominant, autosomal recessive, or X-linked inheritance patterns, but acquired cases can result from brain injury or stroke. Diagnosis primarily relies on clinical observation of seizures, electroencephalogram (EEG) recordings, and in some cases, genetic testing to identify potential causative mutations."
glycosuria,D006029,"Glycosuria, represented by OMIM ID 'D006029', is primarily associated with mutations in genes including GLUT2 (SLC2A2) and SGLT2 (SLC5A2) proteins, which play pivotal roles in regulating renal glucose reabsorption and influence the renal threshold for glucose. These mutations disrupt the normal signal pathway of glucose reabsorption in renal proximal tubular cells, leading to the excretion of glucose in urine, a symptom defining this renal tubular disease. Multiple pharmacological interventions are used in treatment, most commonly gliflozins, such as Canagliflozin, Dapagliflozin, and Empagliflozin. These drugs inhibit SGLT2, thereby causing more glucose to be excreted in the urine and reducing blood glucose levels, acting as powerful tools for controlling associated conditions like diabetes. Comorbidities often occur with glycosuria, including hypertension, hyperglycemia, and kidney dysfunction, further enriching the clinical picture. Clinical symptoms typically comprise polyuria, polydipsia, weight loss, and recurrent infections, chiefly urinary tract infections. Types of glycosuria include renal and alimentary glycosuria, the former due to renal tubular dysfunction and the latter due to rapid absorption of glucose from the intestine. This disease has an inherited autosomal recessive pattern seen in patients with Renal Glycosuria due to homozygous or compound heterozygous mutation in the SGLT2 gene. Diagnosis of Glycosuria typically involves urine tests to detect glucose levels exceeding renal threshold (200 mg/dl), and genetic testing for defective GLUT2 or SGLT2 genes when a hereditary component is suspected. This holistic view of Glycosuria accentuates the complex interplay of genetics, molecular biology, and pharmacology in its pathophysiology and management."
disorders of excessive somnolence,D006970,"Disorders of excessive somnolence, classified with OMIM ID 'D006970', represent a diverse group of conditions typified by hypersomnia and an excessive desire for sleep. Usually, these conditions are linked with mutations or anomalies in genes encoding for hyperpolarization-activated cyclic nucleotide-gated potassium channel 2 (HCN2), orexin neuropeptides (HCRTR2), and DQB1 allele of the HLA-DQ haplotype. The orexinergic signal pathway, which forms a core aspect of the condition's molecular mechanism, typically governs arousal and wakefulness by soliciting gamma-aminobutyric acid (GABA) system and is found to be deficient or dysfunctional in such disorders. Modafinil, solriamfetol, and pitolisant are among the commonly prescribed drugs for excessive somnolence disorders, working predominately by enhancing dopamine release or inhibiting dopamine reuptake, and, for pitolisant, acting as a histamine-3 receptor antagonist. These ailments invariably heighten the risk of co-morbidities such as mood disorders, cognitive impairment, and impaired quality of life due to inadequate sleep hygiene. These are chronic, typically lifelong conditions presenting with severe daytime sleepiness, repeated daytime naps, non-restorative sleep, and may be accompanied by cataplexy. The disorders may be intrinsic (like idiopathic hypersomnia) or secondary to other conditions (such as sleep apnea or due to drugs). Regarding inheritance, a familial predisposition is observed in some cases, particularly for narcolepsy, which exhibits an autosomal dominant inheritance associated with HLA-DQB1*0602 allele. Diagnosis is largely based on the criteria defined by ICSD-3 and involves polysomnography, multiple sleep latency tests, and frequently assessing hypocretin levels in cerebrospinal fluid where appropriate. This information should be leveraged to refine patient care, manage comorbid conditions and, through pharmacogenomic studies, optimize response to treatment."
hypothyroidism,D007037,"Hypothyroidism (OMIM ID: D007037) is an endocrine disorder arising from an underactive thyroid gland that can't produce adequate amounts of thyroid hormone. It involves critical genes such as the thyroid peroxidase gene (TPO), thyroglobulin gene (TG), and the thyrotropin receptor gene (TSHR). Mutations in these genes can result in defective thyroid hormone synthesis, manifesting as various types of hypothyroidism such as congenital hypothyroidism, autoimmune hypothyroidism (Hashimoto?€?s disease), and atrophic hypothyroidism. The associated signaling pathway is the hypothalamic-pituitary-thyroid axis, wherein disruption at any level can impair the proper feedback mechanism necessitating thyroid hormone synthesis and release. Clinically, patients often manifest fatigue, constipation, cold intolerance, weight gain, depression, and slowed heart rate. Hypothyroidism is often comorbid with cardiovascular diseases, and untreated cases may lead to devastating complications like myxedema coma or cardiovascular collapse. Common therapeutic approaches include synthetic thyroxine (T4) such as levothyroxine, liotrix (T4/T3 combo), and desiccated thyroid extract. These medications augment deficient thyroid hormone levels, restoring the physiological balance. With a strong genetic component, different inheritance patterns have been noted; for example, congenital hypothyroidism shows autosomal recessive inheritance associated with mutations like the DUOX2 gene. Diagnosis typically relies on blood tests evaluating TSH and free T4 levels, with elevated TSH and low free T4 levels as indicative hallmarks of primary hypothyroidism."
myoclonus,D009207,"Myoclonus (OMIM ID: D009207) is a condition characterized by sudden, involuntary, brief muscle jerks caused by dysregulated neuronal activity, typically involving multiple types of the disease such as physiological, essential, epileptic, and symptomatic myoclonus. Clinically, patients may present with muscular twitching and spasms that may be associated with comorbidities such as epilepsy and Parkinson's disease. At the molecular level, it has been linked to various genes, mutations and proteins, with examples such as the PRRT2 gene encoding the proline-rich transmembrane protein, the CSTB gene encoding cystatin B, and mutations in the ??-sarcoglycan (SGCE) gene. These, among others, play crucial roles in cellular signal pathways including synaptic transmission and regulation of cell survival. In terms of treatment, drugs like levetiracetam, piracetam, and clonazepam are commonly employed, where levetiracetam modulates synaptic vesicle protein SV2A, piracetam influences membrane fluidity and enhances neurotransmission, and clonazepam enhances the effect of GABA, a major inhibitory neurotransmitter. Myoclonus has complex inheritance patterns that can be autosomal dominant, recessive, or even X-linked, depending on the genetic variant implicated. Diagnosis involves a combination of patient history, neurological examination, and electroencephalography, plus genetic testing in certain inheritance-linked cases. The pursuit of further understanding myoclonus is underscored by its frequency, the associated loss of motor control, and the serious impact it can have on a patient?€?s quality of life.
"
paresis,D010291,"Paresis, denoted by OMIM ID 'D010291', is a multifactorial neurological disorder marked by partial voluntary movement or weakened muscles, frequently resulting from anomalies in genes encoding proteins such as N-acetylaspartate (NAA), amyloid precursor protein (APP), and superoxide dismutase 1 (SOD1). Perturbations in the normal transmission of neuronal signals can be traced to the protein-processing pathway, which includes key molecular components such as neurons, axons, and synaptic clefts. Pharmacological management typically relies on drugs such as gabapentin, which enhances GABAergic inhibition; baclofen, a GABAB receptor agonist muscle relaxant; and oxybutynin, an anticholinergic agent useful in managing urinary symptoms due to neurogenic bladder. Paresis often coexists with other neurological conditions like cerebral palsy and multiple sclerosis, complicating the clinical picture. As an incapacitating disorder, it manifests with a multitude of clinical symptoms that intertwine muscular weakness, fatigue, and gradually deteriorating motor skills. Although there are many types of paresis, such as hemiparesis, paraparesis, and quadriparesis, based on the number and position of limbs affected, the common denominator remains the impaired motor function. Its sporadic nature and multifactorial etiology make it challenging to predict based on genetic components alone, yet research points towards a complex interplay of both inherited genetic factors and somatic mutations. Diagnostic criteria involve clinical examination, neuroimaging like MRI, and neurophysiological studies such as electromyography to detect abnormal muscle electrical activity.
"
proteinuria,D011507,"Proteinuria, designated by OMIM ID 'D011507', is a renal disorder characterized by an excess of proteins in the urine, a pathological condition predominantly associated with underlying renal or systemic abnormalities. The disease encompasses a variety of types, such as orthostatic proteinuria, glomerular proteinuria, and tubular proteinuria, further complicated by its heterogeneous etiological basis. Gene mutations playing a pivotal role in renal functioning, in proteins like nephrin (NPHS1), podocin (NPHS2), and alpha-actinin-4 (ACTN4), can lead to proteinuria. NPHS1 and NPHS2 mutations directly affect the slit diaphragm signaling pathway, critical for the permselectivity and integrity of the glomerular filtration barrier, which when disrupted, leads to the characteristic protein loss. The drugs commonly used for managing proteinuria are Angiotensin-converting enzyme inhibitors (such as Lisinopril), Angiotensin II receptor blockers (like Losartan), and Statins (e.g., Atorvastatin), whose mechanisms of action revolve around reducing intraglomerular pressure, antagonizing angiotensin II effects, and decreasing cholesterol synthesis, respectively. Clinically, the condition often manifests as edema, fatigue, and foamy urine, though severe or chronic cases could lead to associated comorbidities like chronic kidney disease, hypertension, cardiovascular diseases, or complications such as nephrotic syndrome. As the disease also exhibits a genetic link, it can inherit in varying patterns like autosomal recessive (NPHS1 and NPHS2) or autosomal dominant (ACTN4). Diagnostic criteria typically rely on urinary tests such as the urinary dipstick, urinary protein-to-creatinine ratio, and 24-hour urine protein, allowing a comprehensive proteinuria identification spectrum ranging from transient to persistent, and benign to an indicator of significant renal disease."
