ID,Disease,Name
0,D102100,"acromegaloid changes, cutis verticis gyrata, and corneal leukoma"
1,D102300,"restless legs syndrome, susceptibility to, 1; rls1"
2,D102400,acroosteolysis
3,D102500,hajdu-cheney syndrome; hjcys
4,D103100,adie pupil
5,D103230,"adrenocortical hypofunction, chronic primary congenital"
6,D103285,adult syndrome
7,D103780,alcohol dependence
8,D104130,"alopecia, psychomotor epilepsy, pyorrhea, and mental subnormality"
9,D104300,"alzheimer disease, familial, 1; ad1"
10,D104310,alzheimer disease 2; ad2
11,D106100,"angioedema, hereditary, 1; hae1"
12,D106400,ankylosing vertebral hyperostosis with tylosis
13,D107320,"antiphospholipid syndrome, familial"
14,D107550,"aortic arch interruption, facial palsy, and retinal coloboma"
15,D107650,"apnea, obstructive sleep"
16,D109100,autoimmune disease
17,D109200,"alopecia, androgenetic, 1; aga1"
18,D109350,gastroesophageal reflux; ger
19,D109543,"leukemia, chronic lymphocytic, susceptibility to, 2"
20,D109800,bladder cancer
21,D110100,"blepharophimosis, ptosis, and epicanthus inversus; bpes"
22,D113610,branchial myoclonus with spastic paraparesis and cerebellar ataxia
23,D113800,epidermolytic hyperkeratosis 1; ehk1
24,D114480,breast cancer
25,D114500,colorectal cancer; crc
26,D114550,hepatocellular carcinoma
27,D114580,"candidiasis, familial, 1; candf1"
28,D115000,ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome; vacrds
29,D115195,"cardiomyopathy, familial hypertrophic, 2; cmh2"
30,D115300,"hypercarotenemia and vitamin a deficiency, autosomal dominant; hcvad"
31,D115645,"cataract, aberrant oral frenula, and growth retardation"
32,D119500,popliteal pterygium syndrome; pps
33,D121200,"seizures, benign familial neonatal, 1; bfns1"
34,D121201,"seizures, benign familial neonatal, 2; bfns2"
35,D124200,darier-white disease; dar
36,D125310,"cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1; cadasil1"
37,D125320,dementia/parkinsonism with non-alzheimer amyloid plaques
38,D125600,dermatosis papulosa nigra
39,D125700,"diabetes insipidus, neurohypophyseal"
40,D125850,"maturity-onset diabetes of the young, type 1; mody1"
41,D125851,"maturity-onset diabetes of the young, type 2; mody2"
42,D125852,type 1 diabetes mellitus 2; t1d2
43,D125853,type 2 diabetes mellitus; t2d
44,D126200,"multiple sclerosis, susceptibility to; ms"
45,D127350,dyschondrosteosis and nephritis
46,D127750,"dementia, lewy body; dlb"
47,D128101,"dystonia 4, torsion, autosomal dominant; dyt4"
