Name,Drug,Description
Goserelin,DB00014,"Goserelin, bearing the DrugBank ID DB00014, is a synthetic decapeptide analogue of luteinizing hormone-releasing hormone (LHRH) with a complex chemical structure that includes common amino acids as well as non-standard amino acids such as D-serine. Structurally classified as a peptide, it belongs to the chemical category of gonadotropin-releasing hormone agonists (GnRH agonists) and shares its chemical scaffold, a peptide backbone, with similar drugs such as Leuprorelin (leuprolide) and Triptorelin. The pharmacokinetics of Goserelin is characterized by its administration via a biodegradable implant designed for sustained release, leading to its absorption and subsequent peptidase-mediated metabolism with no significant hepatic biotransformation. Its terminal elimination is predominantly renal. As for its toxicity, Goserelin is generally well tolerated but can cause local reactions at the injection site, and in rare cases, may lead to hypersensitivity reactions. Goserelin’s mechanism of action involves binding to the gonadotropin-releasing hormone receptor (GnRHR) on the pituitary gland, thereby initially stimulating and then downregulating the release of luteinizing hormone (LH) and follicle-stimulating hormone (FSH). Indicated for hormone-sensitive conditions, Goserelin is used in the treatment of prostate cancer, breast cancer, endometriosis, and as an adjunct to fertility treatment. Side effects arising from its usage include, but are not limited to, hot flashes, decreased libido, and injection site reactions. Clinically, Goserelin is utilized both in the management of advanced carcinoma of the prostate, as a palliative treatment, and in premenopausal women with estrogen receptor-positive breast cancer, to suppress ovarian function. The release formulation of Goserelin ensures a sustained therapeutic effect, making it suitable for long-term treatment plans in these chronic conditions."
Desmopressin,DB00035,"Desmopressin, known by its DrugBank identifier DB00035, is a synthetic analogue of the natural antidiuretic hormone, vasopressin. Its chemical structure is characterized by the presence of a D-arginine residue, which distinguishes it from the naturally occurring L-arginine in vasopressin, and the absence of a terminal amine on the cysteine bridge, which reduces its vasoconstrictive activity. Desmopressin is categorized as a synthetic peptide and shares its chemical scaffold with other peptide hormones, structurally resembling similar drugs like vasopressin analogues, such as terlipressin and argipressin. Pharmacokinetically, desmopressin exhibits rapid absorption following nasal or parenteral administration, and demonstrates a distribution phase that is quickly followed by a slower elimination phase. Its metabolism occurs primarily in the liver and kidneys, with the peptides being broken down into amino acids, and excretion is predominantly through the urine. The drug's toxicity is relatively low, but in cases of overdose or improper use, it can lead to water intoxication and hyponatremia. Desmopressin specifically targets the V2 vasopressin receptors in the renal collecting ducts, leading to increased water reabsorption, and is commonly indicated for the treatment of central diabetes insipidus, prevention of nocturia, and in the management of bleeding disorders like von Willebrand disease and mild hemophilia A by stimulating the release of von Willebrand factor and factor VIII from endothelial cells. Adverse side effects may include headaches, facial flushing, and in rare cases, hyponatremia. Clinically, desmopressin has been used effectively in perioperative settings, treatment of nocturnal enuresis in children, and in diagnostic tests for the assessment of renal function and coagulation pathways."
Cyclosporine,DB00091,"Cyclosporine (DrugBank ID: DB00091) is a cyclic polypeptide comprising 11 amino acids, notable for its single D-amino acid, which is not commonly found in nature, rendering a complexity to its chemical structure that challenges both synthesis and analysis. Structurally, it falls within the chemical category of cyclic peptides and features a unique undecapeptide chemical scaffold that distinguishes it from most other pharmacological agents. Cyclosporine shares its immunosuppressive properties with similar drugs like tacrolimus and sirolimus, which are also used to prevent transplant rejection. In terms of pharmacokinetics, cyclosporine exhibits variable oral absorption, with a bioavailability ranging broadly between 20% to 50%. It is preferentially distributed in blood cells and, to a lesser extent, in plasma, showing a high volume of distribution. It is extensively metabolized in the liver, primarily through the cytochrome P450 3A4 isoenzyme, before being excreted in bile. Regarding toxicity, cyclosporine may cause nephrotoxicity, hepatotoxicity, and an increased risk of infections and malignancies due to its immunosuppressive action. Its mechanism of action involves binding to the cytosolic protein cyclophilin of lymphocytes, particularly T-cells, which is its target protein. This complex inhibits calcineurin, which is crucial for the activation of T-lymphocytes. Cyclosporine is indicated for preventing graft rejection in organ transplant recipients and for treating certain autoimmune diseases, such as rheumatoid arthritis and psoriasis. Notable side effects include nephrotoxicity, hypertension, neurotoxicity, gingival hyperplasia, and hirsutism, which can be particularly challenging in patient management. Clinically, cyclosporine has made a substantial impact on the success rates of organ transplantation and is considered a cornerstone in the management of graft-versus-host disease and other conditions requiring a dampened immune response. This drug's utility, however, is tempered by the necessity for careful monitoring of drug levels and patient response to minimize adverse effects and ensure therapeutic efficacy."
Octreotide,DB00104,"Octreotide, with the DrugBank ID DB00104, is a synthetic octapeptide analog of natural somatostatin, a cyclic peptide hormone. It exhibits a distinct chemical structure, primarily composed of D-phenylalanine, L-cysteine, L-phenylalanine, D-tryptophan, L-lysine, L-threonine, L-cysteine, and L-threonine linked through a disulfide bridge between the two cysteine residues, forming a cyclohexapeptide with an acetate substituent on the lysine side chain. As a peptide-based compound, octreotide falls within the chemical category of peptide analogs and shares a similar chemical scaffold to other somatostatin analogs, such as lanreotide. Known similar drugs include other somatostatin analogs like pasireotide and vapreotide. The pharmacokinetic profile of octreotide is characterized by rapid absorption following subcutaneous administration, with maximum plasma concentrations typically achieved within 30 minutes to 2 hours. It exhibits a wide distribution as evidenced by its volume of distribution, with less than 65% binding to plasma proteins. The metabolism of octreotide is primarily hepatic through enzymatic cleavage and excretion is predominantly via the biliary tract with a lesser component being renal elimination. Octreotide's toxicity profile indicates it to be generally well-tolerated, although severe liver function abnormalities, including cholelithiasis, have been reported. The known target proteins of octreotide are the somatostatin receptors (SSTRs), which are G-protein-coupled receptors located on the cell membranes of numerous tissues. Indications for the use of octreotide include treatment for acromegaly, symptoms of carcinoid syndrome, and vasoactive intestinal peptide-secreting tumors (VIPomas), where it effectively suppresses excessive hormone release. Side effects of octreotide can encompass nausea, abdominal pain, flatulence, headache, hyperglycemia, or hypoglycemia. Clinically, octreotide is useful in medical scenarios such as controlling tumor-associated diarrhea in patients with metastatic carcinoid tumors"
Cyanocobalamin,DB00115,"Cyanocobalamin, known by its DrugBank ID 'DB00115', is a synthetic form of vitamin B12 bearing a cyanide ion attached to a cobalamin (vitamin B12) molecule, characterized by a corrin ring with a central cobalt atom and a nucleotide loop with 5,6-dimethylbenzimidazole as the lower axial ligand. As a member of the cobalamin family, its chemical structure features an organometallic bond between cobalt and a methyl group or 5'-deoxyadenosine. Related drugs include other cobalamin variants such as hydroxocobalamin and methylcobalamin, which differ in the ligand attached to the cobalt. Pharmacokinetically, cyanocobalamin is absorbed in the small intestine, utilizing intrinsic factor for its gastrointestinal uptake; it's widely distributed in the body, stored primarily in the liver, metabolized into its active coenzyme forms methylcobalamin and 5-deoxyadenosine cobalamin, and eliminated via urine and feces. Appreciated for its low toxicity, adverse effects are scarce but can manifest as hypersensitivity reactions or in the case of overdose, hematology disturbances. The drug exerts its essential role by functioning as a co-factor for key enzymatic reactions in the body, targeting proteins like methionine synthase and methylmalonyl-CoA mutase. Clinically, cyanocobalamin is indicated for vitamin B12 deficiency, which may occur in conditions such as pernicious anemia, atrophic gastritis, or as a result of dietary insufficiency in vegetarians or malabsorption syndromes. Side effects, though rare when used at recommended doses, can include mild diarrhea, itching, or injection site reactions. In medical practice, cyanocobalamin has diverse clinical applications ranging from supplementation in megaloblastic anemia to a diagnostic agent in the Schilling test to assess vitamin B12 absorption."
Choline,DB00122,"Choline, identifiable by DrugBank ID 'DB00122', is a quaternary ammonium salt with a chemical structure characterized by the presence of an N,N,N-trimethylethanolammonium cation. As a member of the chemical category of ammonium salts, choline's structure is based on a simple chemical scaffold consisting of an alkyl chain attached to a quaternary ammonium group. Chemically similar drugs that contain this structural feature include betaine and acetylcholine. Pharmacokinetically, choline is rapidly absorbed and distributed throughout the body, with a significant portion crossing the blood-brain barrier. Metabolism of choline occurs primarily in the liver where it is transformed into its active metabolite, acetylcholine, and subsequently excreted via renal pathways in the form of breakdown products. In terms of toxicity, excessive intake can lead to hypotension, a fishy body odor, and in severe cases, life-threatening cardiac complications. The principal target proteins of choline include various choline transporters and acetylcholine-synthesizing enzymes, which underscore its role as a precursor to the neurotransmitter acetylcholine. This pharmacological property lends its indication for the treatment of diseases such as Alzheimer's disease, where choline supplementation is thought to enhance cognitive function, and hepatic steatosis, where it acts as a lipotropic agent. Side effects of choline administration may include gastrointestinal discomfort, diarrhea, and vomiting. Clinically, choline is utilized both as a dietary supplement in choline-deficient conditions and therapeutically in parenteral nutrition. It has also been investigated for potential benefits in neurodegenerative conditions and as part of treatment regimens for fatty liver diseases, where it may contribute to reducing hepatic lipid accumulation."
Arginine,DB00125,"Arginine, designated by the DrugBank ID DB00125, is an α-amino acid that plays a pivotal role in biological processes. Its chemical structure is characterized by a carboxylic acid group (—COOH), an amino group (—NH2), and a side chain consisting of a 3-carbon aliphatic straight chain ending in a guanidino group. As a member of the amino acids, peptides, and analogues chemical category, it possesses a classic amino acid scaffold. Drugs that share a similar profile include other proteinogenic amino acids such as L-lysine and L-citrulline, which also serve as dietary supplements and have roles in metabolic pathways. Arginine’s pharmacokinetics reveals that it is readily absorbed by the small intestine via cationic amino acid transporters, extensively distributed throughout the body, metabolized primarily by the kidneys and also by the liver to a lesser extent, and excreted mainly in the urine. In regards to toxicity, arginine demonstrates a relatively safe profile; however, excessive doses may lead to gastrointestinal distress and imbalances in electrolytes and blood pressure. Its broad spectrum of target proteins includes nitric oxide synthase, which it activates to produce nitric oxide, an important cellular signaling molecule. Medically, arginine is indicated to assess growth hormone function, support wound healing, help manage heart disease by improving vascular function, and may even be used to treat certain conditions associated with nitric oxide deficiency or metabolism issues, such as inborn errors of urea synthesis. Side effects of arginine supplementation can manifest as abdominal pain, bloating, diarrhea, gout, allergies, airway inflammation, or worsening of asthma. Clinically, arginine has found utility in both diagnostic and therapeutic avenues—being employed in growth hormone stimulation tests, as adjunctive therapy in conditions like congestive heart failure, and in improving erectile dysfunction and peripheral vascular disease through enhanced nitric oxide production."
Ascorbic acid,DB00126,"Ascorbic acid, also known as vitamin C, with DrugBank ID 'DB00126', is a water-soluble vitamin with a chemical structure characterized by a six-carbon lactone ring and enediol configuration at the second and third carbons, allowing it to act as a reducing agent. As an essential vitamin categorized under the water-soluble vitamins, ascorbic acid belongs to the ascorbate and aldarate chemical class. Structurally, it shares a similar scaffold with related compounds like dehydroascorbic acid, which is its oxidized form. Ascorbic acid exhibits a well-documented pharmacokinetic profile: after oral administration, it is readily absorbed by the intestines through sodium-dependent vitamin C transporters (SVCTs) and distributed throughout the body's water-soluble compartments. Its metabolism involves reversible oxidation to dehydroascorbic acid, with eventual renal excretion of metabolites. While ascorbic acid is generally regarded as safe, excessive intake can lead to toxicity presenting as gastrointestinal disturbances, headache, fatigue, and kidney stones. Its biological targets primarily include enzymes that rely on ascorbic acid as a cofactor, such as prolyl hydroxylase which is essential for the biosynthesis of collagen, carnitine, and certain neurotransmitters. Medically, it is indicated for the prevention and treatment of scurvy, a disease resulting from vitamin C deficiency, and also used to improve immune system functioning and skin health. Side effects of ascorbic acid, although rare at recommended doses, can include gastrointestinal upset and diarrhoea at high doses. Clinically, ascorbic acid is used both for its antioxidant properties and its role in collagen synthesis, aiding in wound healing, preventing cell damage, supporting immune function, and enhancing iron absorption, exemplified by its prescription in patients with iron-deficiency anemia to increase iron bioavailability."
Adenosine phosphate,DB00131,"Adenosine phosphate, represented by the DrugBank ID DB00131, is a nucleotide that consists of the purine nucleoside adenosine with three phosphate groups (triphosphate) esterified to its 5' carbon. Its structure includes an adenine base attached to a ribose sugar moiety, which is in turn connected to the chain of phosphate groups; this eponymous structure places it within the purine nucleoside triphosphates category, sharing a similar purine-based chemical scaffold with other nucleotides like ATP (adenosine triphosphate). When considering drugs with related mechanisms, agents such as dipyridamole come to mind, which enhances the effects of adenosine phosphate by inhibiting its reuptake and prolonging its action. The pharmacokinetics of adenosine phosphate encompass rapid absorption following administration, widespread distribution owing to its fundamental role in cellular metabolism, intracellular metabolism predominantly through enzymatic dephosphorylation, and excretion mainly via renal pathways after being metabolized to adenosine and inorganic phosphate. Its toxicity profile is generally low, given its endogenous presence, though adverse effects can occur at therapeutic dosages; such examples include cardiovascular reactions like vasodilation-induced hypotension. Adenosine phosphate targets numerous proteins due to its role as a cellular signaling molecule and an energy transfer substrate, thereby modulating a variety of biological processes; prominent targets include various adenosine receptors and kinase enzymes. Therapeutically, adenosine phosphate is used in conditions characterized by its relative deficiency, such conditions may include certain cardiac and neurological disorders, where replenishment of cellular energy currency can alleviate symptoms like ischemic pain in myocardial infarction or enhance neurological recovery post-stroke. Potential side effects associated with its use include chest pain, headaches, and palpitations due to the pharmacological actions of adenosine receptors on cardiovascular and nervous systems. In clinical practice, adenosine phosphate is often administered in hospital settings during acute intervention for supraventricular tachycardia, where its rapid action can normalize heart rhythm disturbances. This pharmacological profile thus underscores adenosine phosphate’s indispensible role within human biochemistry and its"
Calcitriol,DB00136,"Calcitriol, with the DrugBank identifier DB00136, is the hormonally active form of vitamin D3 with a complex chemical structure characterized by a secosteroid skeleton. This structure is composed of a cyclohexane ring, a cycloheptane ring, and a cyclopentane ring that are interconnected, with various hydroxyl groups attached, making it a highly hydroxylated lipid-soluble molecule. As a secosteroid, it belongs to a chemical category of steroids that is broken or ""seco-"" at one of the rings in the core steroid structure. This secosteroid scaffold is fundamental to the function of similar drugs such as alfacalcidol and doxercalciferol, both of which are vitamin D analogs used to manage conditions related to calcium homeostasis.

Concerning pharmacokinetics, calcitriol is well-absorbed in the gastrointestinal tract, especially in presence of dietary fats, binds extensively to the vitamin D-binding protein in circulation, and undergoes complex metabolism primarily in the liver and kidneys. The liver converts it to 25-hydroxycalciferol, which is then hydroxylated in the kidneys to the active form, calcitriol. It is primarily excreted in bile and feces, with minimal renal elimination. Regarding toxicity, calcitriol has a narrow therapeutic window, with overdose potentially leading to hypercalcemia and hyperphosphatemia, which can result in vascular and tissue calcification.

Calcitriol specifically targets the vitamin D receptor (VDR), a nuclear transcription factor that modulates the expression of myriad genes. Clinically, calcitriol is indicated for the treatment of conditions such as secondary hyperparathyroidism, often associated with chronic kidney disease, and osteoporosis, where calcium metabolism is disrupted. Adverse effects encompass hypercalcemia, gastrointestinal disturbances like nausea and vomiting, neurologic complaints such as headaches, and potential chronic effects including calcification of soft tissues. Therapeutically, calcitriol is employed both orally and parenterally to manage these calcium-related disorders, illustrating its versatility as a pharmaceutical agent despite risks associated with improper dosing."
