ID,Disease,Name
0,D102100,"acromegaloid changes, cutis verticis gyrata, and corneal leukoma"
1,D102300,"restless legs syndrome, susceptibility to, 1; rls1"
2,D102400,acroosteolysis
3,D102500,hajdu-cheney syndrome; hjcys
4,D103100,adie pupil
5,D103780,alcohol dependence
6,D104130,"alopecia, psychomotor epilepsy, pyorrhea, and mental subnormality"
7,D104300,"alzheimer disease, familial, 1; ad1"
8,D106400,ankylosing vertebral hyperostosis with tylosis
9,D107320,"antiphospholipid syndrome, familial"
10,D107550,"aortic arch interruption, facial palsy, and retinal coloboma"
11,D107650,"apnea, obstructive sleep"
12,D109100,autoimmune disease
13,D109200,"alopecia, androgenetic, 1; aga1"
14,D109350,gastroesophageal reflux; ger
15,D109543,"leukemia, chronic lymphocytic, susceptibility to, 2"
16,D109800,bladder cancer
17,D110100,"blepharophimosis, ptosis, and epicanthus inversus; bpes"
18,D113610,branchial myoclonus with spastic paraparesis and cerebellar ataxia
19,D114480,breast cancer
20,D114500,colorectal cancer; crc
21,D114550,hepatocellular carcinoma
22,D114580,"candidiasis, familial, 1; candf1"
23,D115000,ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome; vacrds
24,D115195,"cardiomyopathy, familial hypertrophic, 2; cmh2"
25,D115300,"hypercarotenemia and vitamin a deficiency, autosomal dominant; hcvad"
26,D115645,"cataract, aberrant oral frenula, and growth retardation"
27,D119500,popliteal pterygium syndrome; pps
28,D121200,"seizures, benign familial neonatal, 1; bfns1"
29,D121201,"seizures, benign familial neonatal, 2; bfns2"
30,D125310,"cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1; cadasil1"
31,D125320,dementia/parkinsonism with non-alzheimer amyloid plaques
32,D125600,dermatosis papulosa nigra
33,D125700,"diabetes insipidus, neurohypophyseal"
34,D125850,"maturity-onset diabetes of the young, type 1; mody1"
35,D125851,"maturity-onset diabetes of the young, type 2; mody2"
36,D125852,type 1 diabetes mellitus 2; t1d2
37,D125853,type 2 diabetes mellitus; t2d
38,D126200,"multiple sclerosis, susceptibility to; ms"
39,D127350,dyschondrosteosis and nephritis
40,D127750,"dementia, lewy body; dlb"
41,D128101,"dystonia 4, torsion, autosomal dominant; dyt4"
42,D131200,"endometriosis, susceptibility to, 1"
43,D131300,camurati-engelmann disease; caend
44,D131440,"myeloproliferative disorder, chronic, with eosinophilia"
45,D132090,"epilepsy, benign occipital; boe"
46,D132100,photoparoxysmal response 1; ppr1
47,D132300,"epilepsy, reading"
48,D133239,esophageal cancer
