,DrugBank ID,OMIM ID
0,DB00734,D004827
1,DB00734,D004829
2,DB00734,D004830
3,DB00734,D006261
4,DB00734,D006970
5,DB00734,D007022
6,DB00734,D007249
7,DB00734,D009069
8,DB00734,D009202
9,DB00734,D013921
10,DB00987,D002289
11,DB00987,D009369
12,DB00201,D006967
13,DB00201,D006973
14,DB00201,D007022
15,DB00201,D007249
16,DB00201,D007319
17,DB00201,D007410
18,DB00201,D007565
19,DB00201,D007674
20,DB00201,D007859
21,DB00201,D007970
22,DB00201,D008569
23,DB00201,D009069
24,DB00201,D009202
25,DB00201,D009203
26,DB00201,D009205
27,DB00201,D009336
28,DB00201,D009369
29,DB00201,D009503
30,DB00201,D010292
31,DB00201,D010302
32,DB00201,D010689
33,DB00201,D011537
34,DB00201,D011782
35,DB00201,D013280
36,DB00201,D013610
37,DB00201,D013921
38,DB00201,D013923
39,DB00201,D014693
40,DB00201,D015427
41,DB00201,D015428
42,DB00201,D015431
43,DB00201,D017180
44,DB00201,D017202
45,DB00201,D018487
46,DB00201,D018805
47,DB00201,D020244
48,DB00201,D020257
49,DB00201,D020521
50,DB00201,D023921
51,DB00201,D052016
52,DB01388,D003221
53,DB01388,D004827
54,DB01388,D004832
55,DB01388,D005767
56,DB01388,D006973
57,DB01388,D007022
58,DB01388,D007249
59,DB01388,D007410
60,DB01388,D007676
61,DB01388,D008569
62,DB01388,D009135
63,DB01388,D009202
64,DB01388,D009336
65,DB01388,D009503
66,DB01388,D010146
67,DB01388,D010292
68,DB01388,D010302
69,DB01388,D010689
70,DB01388,D011537
71,DB01388,D012206
72,DB01388,D013921
73,DB01388,D014839
74,DB01388,D017674
75,DB01045,D004830
76,DB01045,D009207
77,DB01045,D013375
78,DB01138,D006973
79,DB01138,D007010
80,DB01138,D009503
81,DB01138,D010292
82,DB01138,D011507
83,DB01050,D007022
84,DB01050,D004211
85,DB01050,D010190
86,DB00421,D003327
87,DB00421,D004211
88,DB00421,D004827
89,DB00421,D006973
90,DB00421,D007022
91,DB00421,D007249
92,DB00421,D008569
93,DB00421,D009069
94,DB00421,D009202
95,DB00421,D009336
96,DB00421,D011537
97,DB00421,D013921
98,DB00421,D014839
99,DB00759,D001008
100,DB00759,D001259
101,DB00759,D003251
102,DB00759,D004830
103,DB00759,D006029
104,DB00759,D006970
105,DB00759,D007037
106,DB00759,D009207
107,DB00759,D010291
108,DB00759,D011507
109,DB00759,D012640
110,DB00759,D013262
111,DB00759,D013375
112,DB00759,D017674
113,DB00759,D019954
114,DB00759,D020301
115,DB00623,D009503
116,DB00623,D009369
117,DB00623,D009135
118,DB00623,D009203
119,DB00623,D009362
120,DB00623,D009422
121,DB00623,D010292
122,DB00623,D010523
123,DB00623,D011507
124,DB00623,D013921
125,DB00623,D013923
126,DB00623,D014652
127,DB00623,D017202
128,DB00668,D004827
129,DB00668,D004831
130,DB00668,D004832
131,DB00668,D006973
132,DB00668,D007022
133,DB00668,D007249
134,DB00668,D007674
135,DB00668,D009369
136,DB00668,D010292
137,DB00668,D013921
138,DB00358,D001008
139,DB00358,D001259
140,DB00358,D003251
141,DB00358,D004830
142,DB00358,D006029
143,DB00358,D006970
144,DB00358,D007037
145,DB00358,D009207
146,DB00358,D010291
147,DB00358,D011507
148,DB00358,D012640
149,DB00358,D013262
150,DB00358,D013375
151,DB00358,D017674
152,DB00358,D019954
153,DB00358,D020301
154,DB01035,D003967
155,DB01035,D004830
156,DB01035,D006973
157,DB01035,D007022
158,DB01035,D007249
159,DB01035,D007970
160,DB01035,D009135
161,DB01035,D009203
162,DB01035,D009503
163,DB01035,D010198
164,DB01035,D010292
165,DB01035,D010689
166,DB00428,D004827
167,DB00428,D005221
168,DB00428,D005767
169,DB00428,D007319
170,DB00428,D010292
171,DB01268,D004827
172,DB01268,D004831
173,DB01268,D004832
174,DB00563,D004827
175,DB00563,D004831
176,DB00563,D004832
177,DB01435,D001249
178,DB01435,D004827
179,DB01435,D006261
180,DB01435,D006977
181,DB01435,D009369
182,DB01435,D010190
183,DB00704,D007008
184,DB00704,D007752
185,DB01182,D001008
186,DB01182,D001259
187,DB01182,D004830
188,DB01182,D006970
189,DB01182,D007037
190,DB01182,D009207
191,DB01182,D010291
192,DB01182,D011507
193,DB01182,D012640
194,DB01182,D013262
195,DB01182,D013375
196,DB01182,D017674
197,DB01182,D019954
198,DB01182,D020301
199,DB00586,D001249
200,DB00586,D004715
201,DB00586,D007964
202,DB00586,D008881
203,DB00586,D010195
204,DB00586,D010612
205,DB00586,D012852
206,DB00586,D015267
207,DB00586,D029424
208,DB00973,D004827
209,DB00973,D005221
210,DB00973,D013262
211,DB01234,D013262
212,DB00683,D007022
213,DB01261,D001249
214,DB01261,D004831
215,DB01261,D006973
216,DB01261,D007249
217,DB01261,D007674
218,DB01261,D009135
219,DB01261,D009203
220,DB01261,D010146
221,DB01261,D010198
222,DB01261,D010292
223,DB01261,D010689
224,DB01261,D011471
225,DB01261,D013921
226,DB01337,D010198
227,DB01337,D006261
228,DB01337,D006973
229,DB01577,D004830
230,DB01577,D006973
231,DB01577,D007022
232,DB01577,D007249
233,DB01577,D007410
234,DB01577,D009135
235,DB01577,D009203
236,DB01577,D009503
237,DB01577,D010292
238,DB01577,D011507
239,DB01577,D013921
240,DB00783,D004487
241,DB00783,D004830
242,DB00783,D005221
243,DB00783,D005923
244,DB00783,D006261
245,DB00783,D006973
246,DB00783,D007022
247,DB00783,D007249
248,DB00783,D007970
249,DB00783,D008171
250,DB00783,D009135
251,DB00783,D009202
252,DB00783,D009503
253,DB00783,D010146
254,DB00783,D010292
255,DB00783,D011537
256,DB00783,D013921
257,DB00783,D014839
258,DB00457,D004487
259,DB00457,D005767
260,DB00457,D006973
261,DB00457,D007022
262,DB00457,D010292
263,DB00908,D003967
264,DB00908,D004487
265,DB00908,D005221
266,DB00908,D005767
267,DB00908,D006973
268,DB00908,D007022
269,DB00908,D007249
270,DB00908,D007410
271,DB00908,D009135
272,DB00908,D009203
273,DB00908,D009362
274,DB00908,D009503
275,DB00908,D010292
276,DB00908,D011537
277,DB00908,D013921
278,DB00908,D014839
279,DB00908,D018487
280,DB00908,D020257
281,DB01241,D004830
282,DB01241,D005767
283,DB01241,D006973
284,DB01241,D009135
285,DB01241,D010292
286,DB01241,D014839
287,DB00184,D004827
288,DB00184,D004831
289,DB00184,D004832
290,DB00184,D006973
291,DB00184,D007022
292,DB00184,D007249
293,DB00184,D007674
294,DB00184,D008171
295,DB00184,D008545
296,DB00184,D009135
297,DB00184,D009203
298,DB00184,D009369
299,DB00184,D009503
300,DB00184,D010292
301,DB00184,D011471
