DrugBank ID,OMIM ID
DB00122,D104300
DB00122,D125320
DB00122,D144650
DB00122,D145100
DB00122,D147530
DB00122,D155600
DB00122,D166710
DB00122,D181500
DB00122,D208300
DB00122,D277900
DB00125,D102100
DB00125,D102300
DB00125,D102400
DB00125,D102500
DB00125,D103100
DB00125,D103230
DB00125,D103285
DB00125,D103780
DB00125,D104130
DB00125,D104300
DB00125,D104310
DB00125,D106100
DB00125,D106400
DB00125,D107320
DB00125,D107550
DB00125,D107650
DB00125,D109100
DB00125,D109200
DB00125,D109350
DB00125,D109543
DB00125,D109800
DB00125,D110100
DB00125,D113610
DB00125,D113800
DB00125,D114480
DB00125,D114500
DB00125,D114550
DB00125,D114580
DB00125,D115000
DB00125,D115195
DB00125,D115300
DB00125,D115645
DB00125,D119500
DB00125,D121200
DB00125,D121201
DB00125,D124200
DB00125,D125310
DB00125,D125320
DB00125,D125600
DB00125,D125700
DB00125,D125850
DB00125,D125851
DB00125,D125852
DB00125,D125853
DB00125,D126200
DB00125,D127350
DB00125,D127750
DB00125,D128101
DB00125,D131200
DB00125,D131300
DB00125,D131440
DB00125,D132090
DB00125,D132100
DB00125,D132300
DB00125,D133239
DB00125,D133600
DB00125,D133690
DB00125,D134430
DB00125,D134500
DB00125,D134510
DB00125,D134520
DB00125,D134600
DB00125,D134750
DB00125,D135550
DB00125,D136200
DB00125,D137215
DB00125,D137400
DB00125,D137580
DB00125,D137750
DB00125,D137760
DB00125,D137800
DB00125,D138800
DB00125,D140300
DB00125,D140600
DB00125,D140850
DB00125,D143100
DB00125,D143465
DB00125,D143500
DB00125,D143880
DB00125,D143890
DB00125,D144010
DB00125,D144110
DB00125,D144250
DB00125,D144400
DB00125,D144650
DB00125,D144700
DB00125,D145100
DB00125,D145200
DB00125,D145500
DB00125,D145590
DB00125,D145600
DB00125,D145750
DB00125,D146110
DB00125,D146200
DB00125,D146255
DB00125,D146500
DB00125,D146700
DB00125,D146850
DB00125,D147480
DB00125,D147530
DB00125,D147540
DB00125,D148000
DB00125,D148100
DB00125,D150600
DB00125,D151380
DB00125,D151400
DB00125,D151590
DB00125,D152700
DB00125,D153800
DB00125,D153880
DB00125,D154275
DB00125,D154276
DB00125,D155100
DB00125,D155600
DB00125,D155601
DB00125,D156000
DB00125,D156190
DB00125,D157300
DB00125,D157700
DB00125,D157950
DB00125,D158280
DB00125,D160300
DB00125,D160750
DB00125,D161400
DB00125,D161900
DB00125,D164230
DB00125,D165150
DB00125,D165199
DB00125,D165720
DB00125,D166300
DB00125,D166710
DB00125,D166760
DB00125,D167320
DB00125,D167870
DB00125,D168100
DB00125,D168600
DB00125,D168601
DB00125,D170900
DB00125,D171300
DB00125,D173200
DB00125,D174800
DB00125,D175100
DB00125,D175505
DB00125,D176800
DB00125,D176807
DB00125,D178600
DB00125,D179600
DB00125,D181000
DB00125,D181460
DB00125,D181500
DB00125,D182000
DB00125,D182280
DB00125,D182830
DB00125,D184700
DB00125,D187360
DB00125,D187950
DB00125,D188030
DB00125,D188050
DB00125,D188470
DB00125,D188890
DB00125,D189600
DB00125,D189800
DB00125,D190300
DB00125,D190310
DB00125,D190400
DB00125,D191100
DB00125,D191390
DB00125,D191800
DB00125,D192000
DB00125,D192200
DB00125,D193200
DB00125,D193400
DB00125,D194070
DB00125,D194200
DB00125,D200170
DB00125,D202370
DB00125,D202400
DB00125,D203700
DB00125,D205700
DB00125,D206200
DB00125,D208085
DB00125,D208230
DB00125,D208300
DB00125,D208550
DB00125,D208700
DB00125,D208750
DB00125,D208920
DB00125,D209850
DB00125,D210050
DB00125,D211980
DB00125,D212050
DB00125,D212110
DB00125,D212112
DB00125,D212130
DB00125,D212140
DB00125,D212350
DB00125,D215140
DB00125,D215470
DB00125,D217150
DB00125,D217200
DB00125,D218200
DB00125,D218800
DB00125,D219700
DB00125,D219750
DB00125,D219800
DB00125,D220100
DB00125,D220120
DB00125,D222100
DB00125,D223350
DB00125,D225740
DB00125,D225755
DB00125,D226000
DB00125,D226150
DB00125,D227300
DB00125,D230450
DB00125,D230800
DB00125,D230900
DB00125,D231000
DB00125,D231090
DB00125,D231200
DB00125,D231900
DB00125,D233100
DB00125,D233810
DB00125,D234700
DB00125,D236000
DB00125,D237450
DB00125,D237500
DB00125,D238800
DB00125,D239350
DB00125,D240200
DB00125,D240400
DB00125,D241100
DB00125,D241519
DB00125,D242100
DB00125,D243200
DB00125,D246300
DB00125,D246400
DB00125,D246470
DB00125,D247200
DB00125,D247640
DB00125,D248190
DB00125,D249100
DB00125,D250790
DB00125,D252320
DB00125,D254200
DB00125,D254400
DB00125,D254450
DB00125,D254500
DB00125,D254770
DB00125,D254800
DB00125,D255900
DB00125,D256370
DB00125,D256700
DB00125,D257200
DB00125,D257220
DB00125,D258360
DB00125,D259050
DB00125,D259500
DB00125,D259660
DB00125,D260300
DB00125,D260480
DB00125,D260570
DB00125,D260970
DB00125,D261100
DB00125,D261515
DB00125,D263300
DB00125,D263800
DB00125,D264120
DB00125,D264700
DB00125,D265400
DB00125,D266120
DB00125,D266600
DB00125,D267730
DB00125,D267740
DB00125,D268220
DB00125,D268320
DB00125,D270960
DB00125,D273300
DB00125,D273800
DB00125,D275000
DB00125,D276300
DB00125,D277350
DB00125,D277440
DB00125,D277460
DB00125,D277480
DB00125,D277730
DB00125,D277900
DB00125,D278200
DB00125,D300100
DB00125,D300125
DB00125,D300136
DB00125,D300232
DB00125,D300425
DB00125,D300491
DB00125,D300494
DB00125,D300495
DB00125,D300496
DB00125,D303110
DB00125,D304790
DB00125,D304900
DB00125,D305300
DB00125,D307700
DB00125,D308205
DB00125,D308350
DB00125,D308600
DB00125,D310468
DB00125,D311360
DB00125,D312910
DB00125,D540000
DB00125,D556500
DB00125,D600081
DB00125,D600082
DB00125,D600116
DB00125,D600131
DB00125,D600263
DB00125,D600319
DB00125,D600351
DB00125,D600467
DB00125,D600496
DB00125,D600631
DB00125,D600634
DB00125,D600803
DB00125,D600807
DB00125,D600808
DB00125,D601004
DB00125,D601042
DB00125,D601208
DB00125,D601318
DB00125,D601367
DB00125,D601518
DB00125,D601608
DB00125,D601626
DB00125,D601665
DB00125,D601666
DB00125,D601682
DB00125,D601744
DB00125,D601887
DB00125,D601888
DB00125,D601941
DB00125,D601942
DB00125,D602068
DB00125,D602080
DB00125,D602096
DB00125,D602134
DB00125,D602404
DB00125,D602439
DB00125,D602522
DB00125,D603165
DB00125,D603266
DB00125,D603388
DB00125,D604302
DB00125,D604416
DB00125,D604827
DB00125,D605021
DB00125,D605055
DB00125,D605218
DB00125,D605480
DB00125,D605526
DB00125,D605804
DB00125,D605805
DB00125,D605839
DB00125,D605841
DB00125,D605844
DB00125,D606054
DB00125,D606324
DB00125,D606369
DB00125,D606703
DB00125,D606764
DB00125,D606798
DB00125,D606889
DB00125,D607060
DB00125,D607154
DB00125,D607202
DB00125,D607225
DB00125,D607373
DB00125,D607411
DB00125,D607459
DB00125,D607498
DB00125,D607499
DB00125,D607501
DB00125,D607508
DB00125,D607516
DB00125,D607554
DB00125,D607616
DB00125,D607625
DB00125,D607628
DB00125,D607631
DB00125,D607681
DB00125,D607682
DB00125,D607685
DB00125,D607688
DB00125,D607822
DB00125,D607850
DB00125,D608013
DB00125,D608033
DB00125,D608049
DB00125,D608088
DB00125,D608105
DB00125,D608217
DB00125,D608232
DB00125,D608266
DB00125,D608320
DB00125,D608437
DB00125,D608456
DB00125,D608583
DB00125,D608622
DB00125,D608636
DB00125,D608895
DB00125,D608907
DB00160,D104300
DB00160,D144650
DB00160,D145100
DB00160,D147480
DB00160,D155100
DB00160,D166710
DB00160,D181500
DB00160,D208300
DB00160,D277900
DB00175,D143890
DB00177,D143890
DB00210,D604302
DB00210,D604416
DB00210,D604827
DB00210,D605021
DB00210,D605055
DB00210,D605218
DB00210,D605480
DB00210,D605526
DB00210,D605804
DB00210,D605805
DB00210,D605839
DB00210,D605841
DB00210,D605844
DB00210,D606054
DB00210,D606324
DB00210,D606369
DB00210,D606703
DB00210,D606764
DB00210,D606798
DB00210,D606889
DB00210,D607060
DB00210,D607154
DB00210,D607202
DB00210,D607225
DB00210,D607373
DB00210,D607411
DB00210,D607459
DB00210,D607498
DB00210,D607499
DB00210,D607501
DB00210,D607508
DB00210,D607516
DB00210,D607554
DB00210,D607616
DB00210,D607625
DB00210,D607628
DB00210,D607631
DB00210,D607681
DB00210,D607682
DB00210,D607685
DB00210,D607688
DB00210,D607822
DB00210,D607850
DB00210,D608013
DB00210,D608033
DB00210,D608049
DB00210,D608088
DB00210,D608105
DB00210,D608217
DB00210,D608232
DB00210,D608266
DB00210,D608320
DB00210,D608437
DB00210,D608456
DB00210,D608583
DB00210,D608622
DB00210,D608636
DB00210,D608895
DB00210,D608907
DB00218,D102100
DB00218,D102300
DB00218,D102400
DB00218,D102500
DB00218,D103100
DB00218,D103230
DB00218,D103285
DB00218,D103780
DB00218,D104130
DB00218,D104300
DB00218,D104310
DB00218,D106100
DB00218,D106400
DB00218,D107320
DB00218,D107550
DB00218,D107650
DB00218,D109100
DB00218,D109200
DB00218,D109350
DB00218,D109543
DB00218,D109800
DB00218,D110100
DB00218,D113610
DB00218,D113800
DB00218,D114480
DB00218,D114500
DB00218,D114550
DB00218,D114580
DB00218,D115000
DB00218,D115195
DB00218,D115300
DB00218,D115645
DB00218,D119500
DB00218,D121200
DB00218,D121201
DB00218,D124200
DB00218,D125310
DB00218,D125320
DB00218,D125600
DB00218,D125700
DB00218,D125850
DB00218,D125851
DB00218,D125852
DB00218,D125853
DB00218,D126200
DB00218,D127350
DB00218,D127750
DB00218,D128101
DB00218,D131200
DB00218,D131300
DB00218,D131440
DB00218,D132090
DB00218,D132100
DB00218,D132300
DB00218,D133239
DB00218,D133600
DB00218,D133690
DB00218,D134430
DB00218,D134500
DB00218,D134510
DB00218,D134520
DB00218,D134600
DB00218,D134750
DB00218,D135550
DB00218,D136200
DB00218,D137215
DB00218,D137400
DB00218,D137580
DB00218,D137750
DB00218,D137760
DB00218,D137800
DB00218,D138800
DB00218,D140300
DB00218,D140600
DB00218,D140850
DB00218,D143100
DB00218,D143465
DB00218,D143500
DB00218,D143880
DB00218,D143890
DB00218,D144010
DB00218,D144110
DB00218,D144250
DB00218,D144400
DB00218,D144650
DB00218,D144700
DB00218,D145100
DB00218,D145200
DB00218,D145500
DB00218,D145590
DB00218,D145600
DB00218,D145750
DB00218,D146110
DB00218,D146200
DB00218,D146255
DB00218,D146500
DB00218,D146700
DB00218,D146850
DB00218,D147480
DB00218,D147530
DB00218,D147540
DB00218,D148000
DB00218,D148100
DB00218,D150600
DB00218,D151380
DB00218,D151400
DB00218,D151590
DB00218,D152700
DB00218,D153800
DB00218,D153880
DB00218,D154275
DB00218,D154276
DB00218,D155100
DB00218,D155600
DB00218,D155601
DB00218,D156000
DB00218,D156190
DB00218,D157300
DB00218,D157700
DB00218,D157950
DB00218,D158280
DB00218,D160300
DB00218,D160750
DB00218,D161400
DB00218,D161900
DB00218,D164230
DB00218,D165150
DB00218,D165199
DB00218,D165720
DB00218,D166300
DB00218,D166710
DB00218,D166760
DB00218,D167320
DB00218,D167870
DB00218,D168100
DB00218,D168600
DB00218,D168601
DB00218,D170900
DB00218,D171300
DB00218,D173200
DB00218,D174800
DB00218,D175100
DB00218,D175505
DB00218,D176800
DB00218,D176807
DB00218,D178600
DB00218,D179600
DB00218,D181000
DB00218,D181460
DB00218,D181500
DB00218,D182000
DB00218,D182280
DB00218,D182830
DB00218,D184700
DB00218,D187360
DB00218,D187950
DB00218,D188030
DB00218,D188050
DB00218,D188470
DB00218,D188890
DB00218,D189600
DB00218,D189800
DB00218,D190300
DB00218,D190310
DB00218,D190400
DB00218,D191100
DB00218,D191390
DB00218,D191800
DB00218,D192000
DB00218,D192200
DB00218,D193200
DB00218,D193400
DB00218,D194070
DB00218,D194200
DB00218,D200170
DB00218,D202370
DB00218,D202400
DB00218,D203700
DB00218,D205700
DB00218,D206200
DB00218,D208085
DB00218,D208230
DB00218,D208300
DB00218,D208550
DB00218,D208700
DB00218,D208750
DB00218,D208920
DB00218,D209850
DB00218,D210050
DB00218,D211980
DB00218,D212050
DB00218,D212110
DB00218,D212112
DB00218,D212130
DB00218,D212140
DB00218,D212350
DB00218,D215140
DB00218,D215470
DB00218,D217150
DB00218,D217200
DB00218,D218200
DB00218,D218800
DB00218,D219700
DB00218,D219750
DB00218,D219800
DB00218,D220100
DB00218,D220120
DB00218,D222100
DB00218,D223350
DB00218,D225740
DB00218,D225755
DB00218,D226000
DB00218,D226150
DB00218,D227300
DB00218,D230450
DB00218,D230800
DB00218,D230900
DB00218,D231000
DB00218,D231090
DB00218,D231200
DB00218,D231900
DB00218,D233100
DB00218,D233810
DB00218,D234700
DB00218,D236000
DB00218,D237450
DB00218,D237500
DB00218,D238800
DB00218,D239350
DB00218,D240200
DB00218,D240400
DB00218,D241100
DB00218,D241519
DB00218,D242100
DB00218,D243200
DB00218,D246300
DB00218,D246400
DB00218,D246470
DB00218,D247200
DB00218,D247640
DB00218,D248190
DB00218,D249100
DB00218,D250790
DB00218,D252320
DB00218,D254200
DB00218,D254400
DB00218,D254450
DB00218,D254500
DB00218,D254770
DB00218,D254800
DB00218,D255900
DB00218,D256370
DB00218,D256700
DB00218,D257200
DB00218,D257220
DB00218,D258360
DB00218,D259050
DB00218,D259500
DB00218,D259660
DB00218,D260300
DB00218,D260480
DB00218,D260570
DB00218,D260970
DB00218,D261100
DB00218,D261515
DB00218,D263300
DB00218,D263800
DB00218,D264120
DB00218,D264700
DB00218,D265400
DB00218,D266120
DB00218,D266600
DB00218,D267730
DB00218,D267740
DB00218,D268220
DB00218,D268320
DB00218,D270960
DB00218,D273300
DB00218,D273800
DB00218,D275000
DB00218,D276300
DB00218,D277350
DB00218,D277440
DB00218,D277460
DB00218,D277480
DB00218,D277730
DB00218,D277900
DB00218,D278200
DB00218,D300100
DB00218,D300125
DB00218,D300136
DB00218,D300232
DB00218,D300425
DB00218,D300491
DB00218,D300494
DB00218,D300495
DB00218,D300496
DB00218,D303110
DB00218,D304790
DB00218,D304900
DB00218,D305300
DB00218,D307700
DB00218,D308205
DB00218,D308350
DB00218,D308600
DB00218,D310468
DB00218,D311360
DB00218,D312910
DB00218,D540000
DB00218,D556500
DB00218,D600081
DB00218,D600082
DB00218,D600116
DB00218,D600131
DB00218,D600263
DB00218,D600319
DB00218,D600351
DB00218,D600467
DB00218,D600496
DB00218,D600631
DB00218,D600634
DB00218,D600803
DB00218,D600807
DB00218,D600808
DB00218,D601004
DB00218,D601042
DB00218,D601208
DB00218,D601318
DB00218,D601367
DB00218,D601518
DB00218,D601608
DB00218,D601626
DB00218,D601665
DB00218,D601666
DB00218,D601682
DB00218,D601744
DB00218,D601887
DB00218,D601888
DB00218,D601941
DB00218,D601942
DB00218,D602068
DB00218,D602080
DB00218,D602096
DB00218,D602134
DB00218,D602404
DB00218,D602439
DB00218,D602522
DB00218,D603165
DB00218,D603266
DB00218,D603388
DB00218,D604302
DB00218,D604416
DB00218,D604827
DB00218,D605021
DB00218,D605055
DB00218,D605218
DB00218,D605480
DB00218,D605526
DB00218,D605804
DB00218,D605805
DB00218,D605839
DB00218,D605841
DB00218,D605844
DB00218,D606054
DB00218,D606324
DB00218,D606369
DB00218,D606703
DB00218,D606764
DB00218,D606798
DB00218,D606889
DB00218,D607060
DB00218,D607154
DB00218,D607202
DB00218,D607225
DB00218,D607373
DB00218,D607411
DB00218,D607459
DB00218,D607498
DB00218,D607499
DB00218,D607501
DB00218,D607508
DB00218,D607516
DB00218,D607554
DB00218,D607616
DB00218,D607625
DB00218,D607628
DB00218,D607631
DB00218,D607681
DB00218,D607682
DB00218,D607685
DB00218,D607688
DB00218,D607822
DB00218,D607850
DB00218,D608013
DB00218,D608033
DB00218,D608049
DB00218,D608088
DB00218,D608105
DB00218,D608217
DB00218,D608232
DB00218,D608266
DB00218,D608320
DB00218,D608437
DB00218,D608456
DB00218,D608583
DB00218,D608622
DB00218,D608636
DB00218,D608895
DB00218,D608907
DB00245,D102300
DB00245,D104310
DB00245,D125320
DB00245,D143500
DB00245,D147530
DB00245,D155600
DB00245,D165199
DB00245,D178600
DB00245,D181500
DB00245,D208300
DB00245,D230800
DB00245,D236000
DB00245,D268220
DB00245,D277900
DB00245,D601626
DB00246,D102300
DB00246,D102500
DB00246,D104300
DB00246,D104310
DB00246,D106400
DB00246,D109100
DB00246,D109200
DB00246,D109800
DB00246,D110100
DB00246,D113800
DB00246,D115300
DB00246,D125310
DB00246,D125320
DB00246,D125700
DB00246,D126200
DB00246,D127750
DB00246,D128101
DB00246,D131200
DB00246,D133600
DB00246,D134500
DB00246,D137215
DB00246,D137580
DB00246,D137750
DB00246,D140600
DB00246,D143100
DB00246,D143500
DB00246,D144250
DB00246,D144650
DB00246,D145100
DB00246,D145200
DB00246,D145590
DB00246,D146700
DB00246,D147530
DB00246,D148100
DB00246,D151400
DB00246,D152700
DB00246,D154275
DB00246,D155100
DB00246,D155600
DB00246,D157950
DB00246,D158280
DB00246,D160300
DB00246,D161400
DB00246,D164230
DB00246,D166710
DB00246,D167320
DB00246,D168601
DB00246,D170900
DB00246,D173200
DB00246,D175100
DB00246,D178600
DB00246,D181460
DB00246,D182280
DB00246,D182830
DB00246,D188030
DB00246,D188470
DB00246,D190310
DB00246,D191100
DB00246,D191390
DB00246,D192000
DB00246,D193200
DB00246,D194070
DB00246,D200170
DB00246,D202370
DB00246,D202400
DB00246,D208085
DB00246,D208230
DB00246,D208550
DB00246,D209850
DB00246,D210050
DB00246,D212050
DB00246,D212112
DB00246,D215140
DB00246,D217150
DB00246,D218200
DB00246,D219700
DB00246,D220120
DB00246,D223350
DB00246,D225740
DB00246,D226000
DB00246,D230450
DB00246,D231090
DB00246,D231200
DB00246,D233100
DB00246,D233810
DB00246,D236000
DB00246,D237450
DB00246,D238800
DB00246,D239350
DB00246,D240200
DB00246,D241100
DB00246,D242100
DB00246,D243200
DB00246,D246300
DB00246,D246400
DB00246,D247200
DB00246,D248190
DB00246,D249100
DB00246,D250790
DB00246,D252320
DB00246,D254200
DB00246,D254400
DB00246,D254450
DB00246,D254500
DB00246,D254770
