DrugBank ID,OMIM ID
DB00007,D102100
DB00007,D102300
DB00007,D102400
DB00007,D102500
DB00007,D103100
DB00007,D103780
DB00007,D104130
DB00007,D104300
DB00007,D106400
DB00007,D107320
DB00007,D107550
DB00007,D107650
DB00007,D109100
DB00007,D109200
DB00007,D109350
DB00007,D109543
DB00007,D109800
DB00007,D110100
DB00007,D113610
DB00007,D114480
DB00007,D114500
DB00007,D114550
DB00007,D114580
DB00007,D115000
DB00007,D115195
DB00007,D115300
DB00007,D115645
DB00007,D119500
DB00007,D121200
DB00007,D121201
DB00007,D125310
DB00007,D125320
DB00007,D125600
DB00007,D125700
DB00007,D125850
DB00007,D125851
DB00007,D125852
DB00007,D125853
DB00007,D126200
DB00007,D127350
DB00007,D127750
DB00007,D128101
DB00007,D131200
DB00007,D131300
DB00007,D131440
DB00007,D132090
DB00007,D132100
DB00007,D132300
DB00007,D133239
DB00007,D133600
DB00007,D133690
DB00007,D134430
DB00007,D134500
DB00007,D134510
DB00007,D134520
DB00007,D134750
DB00007,D135550
DB00007,D136200
DB00007,D137215
DB00007,D137400
DB00007,D137580
DB00007,D137750
DB00007,D137760
DB00007,D137800
DB00007,D138800
DB00007,D140300
DB00007,D140600
DB00007,D140850
DB00007,D143100
DB00007,D143465
DB00007,D143500
DB00007,D143880
DB00007,D144010
DB00007,D144110
DB00007,D144650
DB00007,D144700
DB00007,D145100
DB00007,D145200
DB00007,D145500
DB00007,D145590
DB00007,D145600
DB00007,D146110
DB00007,D146255
DB00007,D146500
DB00007,D146850
DB00007,D147480
DB00007,D147530
DB00007,D147540
DB00007,D148000
DB00007,D148100
DB00007,D150600
DB00007,D150699
DB00007,D151400
DB00007,D151590
DB00007,D152700
DB00007,D153880
DB00007,D154276
DB00007,D155100
DB00007,D155600
DB00007,D155601
DB00007,D156000
DB00007,D156190
DB00007,D157300
DB00007,D157700
DB00007,D157950
DB00007,D158280
DB00007,D160300
DB00007,D160750
DB00007,D161900
DB00007,D164230
DB00007,D165150
DB00007,D165199
DB00007,D165720
DB00007,D166300
DB00007,D166710
DB00007,D166760
DB00007,D167320
DB00007,D167870
DB00007,D168100
