Unnamed: 0,DrugBank ID,MeSH ID
0,DB00860,D006973
1,DB00860,D001249
2,DB00860,D003876
3,DB00860,D001943
4,DB00860,D001932
5,DB00860,D012559
6,DB00860,D010003
7,DB00860,D001172
8,DB00860,D006689
9,DB00860,D003924
10,DB00860,D011565
11,DB00860,D001281
12,DB00860,D001289
13,DB00860,D006073
14,DB00860,D009101
15,DB00860,D001764
16,DB00860,D010437
17,DB00860,D005902
18,DB00860,D001171
19,DB00860,D003863
20,DB00860,D002177
21,DB00860,D006980
22,DB00860,D001528
23,DB00860,D006938
24,DB00860,D001749
25,DB00860,D001008
26,DB00860,D011471
27,DB00860,D003324
28,DB00860,D002292
29,DB00860,D001762
30,DB00860,D010392
31,DB00860,D004715
32,DB00860,D008575
33,DB00860,D009203
34,DB00860,D002289
35,DB00860,D001714
36,DB00860,D006949
37,DB00860,D001145
38,DB00860,D002644
39,DB00860,D015179
40,DB00860,D002292
41,DB00860,D001762
42,DB00860,D010392
43,DB00860,D016481
44,DB00860,D009404
45,DB00860,D003922
46,DB00860,D008180
47,DB00860,D009771
48,DB00860,D006949
49,DB00860,D001145
50,DB00860,D002644
51,DB00860,D031845
52,DB00860,D009101
53,DB00860,D001764
54,DB00860,D020734
55,DB00860,D010437
56,DB00860,D005902
57,DB00860,D001171
58,DB00860,D014376
59,DB00860,D010024
60,DB00860,D003863
61,DB00860,D001281
62,DB00860,D001289
63,DB00860,D006073
64,DB00860,D012628
65,DB00860,D003371
66,DB00860,D012148
67,DB00860,D008178
68,DB00860,D007319
69,DB00860,D009404
70,DB00860,D013274
71,DB00860,D003922
72,DB00860,D008180
73,DB00860,D009771
74,DB00860,D020522
75,DB00860,D006949
76,DB00860,D001145
77,DB00860,D002644
78,DB00860,D031845
79,DB00860,D015179
80,DB00860,D013167
81,DB00860,D014005
82,DB00860,D017449
83,DB00860,D002292
84,DB00860,D001762
85,DB00860,D010392
86,DB00860,D016481
87,DB00860,D015212
88,DB00860,D004715
89,DB00860,D054218
90,DB00860,D008575
91,DB00860,D010391
92,DB00860,D009203
93,DB00860,D002289
94,DB00860,D001714
95,DB00860,D015658
96,DB00860,D017285
97,DB00860,D006980
98,DB00860,D001528
99,DB00860,D029424
100,DB00860,D006938
101,DB00860,D046589
102,DB00860,D001749
103,DB00860,D001008
104,DB00860,D016411
105,DB00860,D011471
106,DB00860,D007006
107,DB00860,D003324
108,DB00860,D013262
109,DB00860,D018232
110,DB00860,D012595
111,DB00860,D006526
112,DB00860,D000224
113,DB00860,D010190
114,DB00860,D065627
115,DB00860,D013203
116,DB00860,D010051
117,DB00860,D000744
118,DB00860,D005705
119,DB00860,D000083242
120,DB00860,D001228
121,DB00860,D000544
122,DB00860,D010033
123,DB00860,D000437
124,DB00860,D009765
125,DB00860,D006976
126,DB00860,D006030
127,DB00860,D006561
128,DB00860,D013036
129,DB00860,D002583
130,DB00860,D016553
131,DB00860,D008010
132,DB00860,D002819
133,DB00860,D014890
134,DB00860,D011928
135,DB00860,D013968
136,DB00860,D009447
137,DB00860,D009128
138,DB00860,D001327
139,DB00860,D011085
140,DB00860,D013700
141,DB00860,D002051
142,DB00860,D020329
143,DB00860,D014010
144,DB00860,D012868
145,DB00860,D003234
146,DB00860,D025241
147,DB00860,D002178
148,DB00860,D004938
149,DB00860,D016889
150,DB00860,D000077195
151,DB00860,D005879
152,DB00860,D010673
153,DB00860,D020190
154,DB00860,D009902
155,DB00860,D009157
156,DB00860,D010001
157,DB00860,D010510
158,DB00860,D000075222
159,DB00860,D014917
160,DB00860,D055752
161,DB00860,D009290
162,DB00860,D065768
163,DB00860,D020275
164,DB00860,D012541
165,DB00860,D011111
166,DB00860,D009396
167,DB00860,D020326
168,DB00860,D007011
169,DB00860,D006937
170,DB00860,D012512
171,DB00860,D053098
172,DB00860,D054179
173,DB00860,D052018
174,DB00860,D007873
175,DB00860,D004892
176,DB00860,D010373
177,DB00860,D011695
178,DB00860,D004832
179,DB00860,D009373
180,DB00860,D010916
181,DB00860,D012507
182,DB00860,D017241
183,DB00860,D004421
184,DB00860,D001523
185,DB00860,D016112
186,DB00860,D007918
187,DB00860,D006333
188,DB00860,D004829
189,DB00860,D012516
190,DB00860,D003966
191,DB00860,D000312
192,DB00860,D000690
193,DB00860,D013736
194,DB00860,D012514
195,DB00860,D019851
196,DB00860,D006528
197,DB00860,D004820
198,DB00860,D006509
199,DB00860,D010911
200,DB00860,D018273
201,DB00860,D011087
202,DB00860,D040181
203,DB00860,D006934
204,DB00860,D003550
205,DB00860,D003453
206,DB00860,D010488
207,DB00860,D018288
208,DB00860,D019578
209,DB00860,D002602
210,DB00860,D055953
211,DB00860,D022124
212,DB00860,D000848
213,DB00860,D002386
214,DB00860,D002647
215,DB00860,D006069
216,DB00860,D006954
217,DB00860,D015043
218,DB00860,D017114
219,DB00860,D003424
220,DB00860,D006111
221,DB00860,D009165
222,DB00860,D003480
223,DB00860,D012010
224,DB00860,D000505
225,DB00860,D014820
226,DB00860,D002862
227,DB00860,D001072
228,DB00860,D001606
229,DB00860,D014435
230,DB00860,D000881
231,DB00860,D006086
232,DB00860,D008228
233,DB00860,D016649
234,DB00860,D006828
235,DB00860,D013587
236,DB00860,D013915
237,DB00860,D005738
238,DB00860,D015228
239,DB00860,D001759
240,DB00860,D012509
241,DB00860,D002822
242,DB00860,D014406
243,DB00860,D001157
244,DB00860,D051474
245,DB00860,D014402
246,DB00860,D000562
247,DB00860,D003047
248,DB00860,D020790
249,DB00860,D008219
250,DB00860,D010284
251,DB00860,D053206
252,DB00860,D009190
253,DB00860,D007251
254,DB00860,D008288
255,DB00860,D006660
256,DB00860,D020961
257,DB00860,D007644
258,DB00860,D012532
259,DB00860,D009091
260,DB00860,D009080
261,DB00860,D043183
262,DB00860,D017515
263,DB00860,D005873
264,DB00860,D016585
265,DB00860,D046152
266,DB00860,D005910
267,DB00860,D008269
268,DB00860,D004374
269,DB00860,D011020
270,DB00860,D016736
271,DB00860,D012859
272,DB00860,D015352
273,DB00860,D008268
274,DB00860,D007645
275,DB00860,D014802
276,DB00860,D010930
277,DB00860,D007943
278,DB00860,D050031
279,DB00860,D055728
280,DB00860,D002280
281,DB00860,D020385
282,DB00860,D001259
283,DB00860,D028226
284,DB00860,D006962
285,DB00860,D013132
286,DB00860,D004422
287,DB00860,D006816
288,DB00860,D001477
289,DB00860,D000707
290,DB00860,D014437
291,DB00860,D020388
292,DB00860,D018263
293,DB00860,D003928
294,DB00860,D013174
295,DB00860,D005198
296,DB00860,D000347
297,DB00860,D018197
298,DB00860,D011225
299,DB00860,D018798
300,DB00860,D017488
301,DB00860,D001987
302,DB00860,D003555
303,DB00860,D003586
304,DB00860,D004893
305,DB00860,D005687
306,DB00860,D029503
307,DB00860,D008181
308,DB00860,D000141
309,DB00860,D007896
310,DB00860,D009855
311,DB00860,D020514
312,DB00860,D014123
313,DB00860,D011115
314,DB00860,D004169
315,DB00860,D002446
316,DB00860,D008545
317,DB00860,D006966
318,DB00860,D056693
319,DB00860,D014927
320,DB00860,D010383
321,DB00860,D055623
322,DB00860,D002771
323,DB00860,D012612
324,DB00860,D054221
325,DB00860,D004697
326,DB00860,D014245
327,DB00860,D008105
328,DB00860,D009437
329,DB00860,D017490
330,DB00860,D005359
331,DB00860,D011125
332,DB00860,D012555
333,DB00860,D006929
334,DB00860,D004761
335,DB00860,D012175
336,DB00860,D001162
337,DB00860,D008088
338,DB00860,D015419
339,DB00860,D010229
340,DB00860,D017229
341,DB00860,D002780
342,DB00860,D000172
343,DB00860,D002294
344,DB00860,D018901
345,DB00860,D002006
346,DB00860,D013919
347,DB00860,D054437
348,DB00860,D003731
349,DB00860,D031249
350,DB00860,D003414
351,DB00860,D006950
352,DB00860,D056729
353,DB00860,D013322
354,DB00860,D008589
355,DB00860,D052537
356,DB00860,D008527
357,DB00860,D013964
358,DB00860,D002971
359,DB00860,D017492
360,DB00860,D013920
361,DB00860,D000306
362,DB00860,D010282
363,DB00860,D013922
364,DB00860,D001474
365,DB00860,D020096
366,DB00860,D007922
367,DB00860,D004165
368,DB00860,D005271
369,DB00860,D052536
370,DB00860,D001176
371,DB00860,D015211
372,DB00860,D018357
373,DB00860,D008305
374,DB00860,D006394
375,DB00860,D015459
376,DB00860,D006501
377,DB00860,D012552
378,DB00860,D017887
379,DB00860,D017681
380,DB00860,D009889
381,DB00860,D014202
382,DB00860,D000743
383,DB00860,D012614
384,DB00860,D003218
